filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
eva_1.jpg,20449,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",3,0,"{""name"":""rect"",""x"":248,""y"":4,""width"":131,""height"":85}","{""name"":""hardhat"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
eva_1.jpg,20449,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",3,1,"{""name"":""rect"",""x"":275,""y"":91,""width"":92,""height"":58}","{""name"":""mask"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
eva_1.jpg,20449,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",3,2,"{""name"":""rect"",""x"":191,""y"":167,""width"":234,""height"":131}","{""name"":""vest"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
eva_2.jpg,187125,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",5,0,"{""name"":""rect"",""x"":242,""y"":98,""width"":115,""height"":82}","{""name"":""hardhat"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
eva_2.jpg,187125,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",5,1,"{""name"":""rect"",""x"":437,""y"":64,""width"":120,""height"":79}","{""name"":""hardhat"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
eva_2.jpg,187125,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",5,2,"{""name"":""rect"",""x"":578,""y"":146,""width"":123,""height"":82}","{""name"":""hardhat"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
eva_2.jpg,187125,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",5,3,"{""name"":""rect"",""x"":749,""y"":85,""width"":126,""height"":79}","{""name"":""hardhat"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
eva_2.jpg,187125,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",5,4,"{""name"":""rect"",""x"":942,""y"":67,""width"":120,""height"":72}","{""name"":""hardhat"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
eva_3.jpg,48000,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",2,0,"{""name"":""rect"",""x"":269,""y"":16,""width"":177,""height"":140}","{""name"":""hardhat"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
eva_3.jpg,48000,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",2,1,"{""name"":""rect"",""x"":260,""y"":136,""width"":111,""height"":91}","{""name"":""mask"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
